baby_id,source,type,ts,cry_intensity,cry_duration_sec,cry_pattern,cry_pitch_hint,feed_amount_ml,feed_method,feed_notes,diaper_wet,diaper_dirty,diaper_notes,sleep_state,sleep_notes,note_text
baby_demo_1,manual,feed,2026-01-16T14:00:00Z,,,,,57,bottle,paced feeding,,,,,,
baby_demo_1,manual,sleep,2026-01-16T14:06:00Z,,,,,,,,,,,woke_up,contact nap,
baby_demo_1,agent,feed,2026-01-16T14:18:00Z,,,,,77,bottle,small spit-up,,,,,,
baby_demo_1,manual,sleep,2026-01-16T14:25:00Z,,,,,,,,,,,asleep,swaddled,
baby_demo_1,manual,sleep,2026-01-16T14:50:00Z,,,,,,,,,,,nap_end,,
baby_demo_1,manual,cry,2026-01-16T15:25:00Z,0.49,219,continuous,unknown,,,,,,,,,
baby_demo_1,agent,feed,2026-01-16T15:27:00Z,,,,,78,bottle,fell asleep while feeding,,,,,,
baby_demo_1,manual,sleep,2026-01-16T15:33:00Z,,,,,,,,,,,asleep,in crib,
baby_demo_1,manual,feed,2026-01-16T16:04:00Z,,,,,166,unknown,fell asleep while feeding,,,,,,
baby_demo_1,device,feed,2026-01-16T16:07:00Z,,,,,125,unknown,seemed hungry,,,,,,
baby_demo_1,manual,cry,2026-01-16T16:22:00Z,0.51,169,continuous,high,,,,,,,,,
baby_demo_1,manual,sleep,2026-01-16T16:32:00Z,,,,,,,,,,,woke_up,,
baby_demo_1,device,cry,2026-01-16T17:00:00Z,0.59,94,intermittent,unknown,,,,,,,,,
baby_demo_1,device,sleep,2026-01-16T17:02:00Z,,,,,,,,,,,asleep,,
baby_demo_1,agent,feed,2026-01-16T17:07:00Z,,,,,66,bottle,seemed hungry,,,,,,
baby_demo_1,manual,sleep,2026-01-16T17:26:00Z,,,,,,,,,,,woke_up,,
baby_demo_1,manual,diaper,2026-01-16T17:49:00Z,,,,,,,,true,false,,,,
baby_demo_1,agent,cry,2026-01-16T17:59:00Z,0.42,197,unknown,unknown,,,,,,,,,
baby_demo_1,manual,cry,2026-01-16T18:05:00Z,0.25,248,continuous,low,,,,,,,,,
baby_demo_1,manual,diaper,2026-01-16T18:12:00Z,,,,,,,,true,false,,,,
baby_demo_1,device,feed,2026-01-16T18:26:00Z,,,,,116,breast,,,,,,,
baby_demo_1,device,cry,2026-01-16T18:44:00Z,0.33,173,unknown,low,,,,,,,,,
baby_demo_1,device,sleep,2026-01-16T18:56:00Z,,,,,,,,,,,asleep,in crib,
baby_demo_1,manual,feed,2026-01-16T19:14:00Z,,,,,94,bottle,,,,,,,
baby_demo_1,manual,sleep,2026-01-16T19:20:00Z,,,,,,,,,,,woke_up,,
baby_demo_1,device,feed,2026-01-16T19:29:00Z,,,,,79,bottle,paced feeding,,,,,,
baby_demo_1,device,sleep,2026-01-16T19:55:00Z,,,,,,,,,,,nap_end,,
baby_demo_2,device,cry,2026-01-16T08:07:00Z,0.27,54,continuous,high,,,,,,,,,
baby_demo_2,manual,cry,2026-01-16T08:10:00Z,0.59,179,intermittent,unknown,,,,,,,,,
baby_demo_2,agent,cry,2026-01-16T08:12:00Z,0.4,399,intermittent,low,,,,,,,,,
baby_demo_2,manual,sleep,2026-01-16T08:16:00Z,,,,,,,,,,,asleep,,
baby_demo_2,device,cry,2026-01-16T08:21:00Z,0.32,456,continuous,low,,,,,,,,,
baby_demo_2,manual,diaper,2026-01-16T08:23:00Z,,,,,,,,true,false,,,,
baby_demo_2,manual,diaper,2026-01-16T08:34:00Z,,,,,,,,true,false,rash check,,,
baby_demo_2,agent,sleep,2026-01-16T08:44:00Z,,,,,,,,,,,woke_up,,
baby_demo_2,manual,sleep,2026-01-16T09:02:00Z,,,,,,,,,,,asleep,contact nap,
baby_demo_2,manual,sleep,2026-01-16T09:24:00Z,,,,,,,,,,,woke_up,,
baby_demo_2,manual,cry,2026-01-16T09:40:00Z,0.36,168,continuous,unknown,,,,,,,,,
baby_demo_2,manual,feed,2026-01-16T09:44:00Z,,,,,79,unknown,small spit-up,,,,,,
baby_demo_2,device,cry,2026-01-16T09:52:00Z,0.42,50,escalating,high,,,,,,,,,
baby_demo_2,device,note,2026-01-16T09:54:00Z,,,,,,,,,,,,,Baby calmer when held.
baby_demo_2,manual,cry,2026-01-16T10:12:00Z,0.45,122,continuous,high,,,,,,,,,
baby_demo_2,manual,cry,2026-01-16T10:32:00Z,0.41,137,intermittent,low,,,,,,,,,
baby_demo_2,manual,cry,2026-01-16T10:35:00Z,0.35,62,unknown,unknown,,,,,,,,,
baby_demo_2,agent,cry,2026-01-16T10:43:00Z,0.64,189,unknown,unknown,,,,,,,,,
baby_demo_2,manual,sleep,2026-01-16T10:50:00Z,,,,,,,,,,,asleep,,
baby_demo_2,manual,sleep,2026-01-16T11:08:00Z,,,,,,,,,,,woke_up,,
baby_demo_2,manual,sleep,2026-01-16T11:36:00Z,,,,,,,,,,,nap_end,swaddled,
baby_demo_2,device,cry,2026-01-16T11:56:00Z,0.12,120,intermittent,high,,,,,,,,,
baby_demo_2,manual,cry,2026-01-16T12:00:00Z,0.2,385,escalating,unknown,,,,,,,,,
baby_demo_2,device,sleep,2026-01-16T12:08:00Z,,,,,,,,,,,asleep,,
baby_demo_2,manual,feed,2026-01-16T12:17:00Z,,,,,88,unknown,fell asleep while feeding,,,,,,
baby_demo_2,agent,cry,2026-01-16T12:20:00Z,0.44,134,intermittent,high,,,,,,,,,
baby_demo_2,manual,cry,2026-01-16T12:28:00Z,0.22,370,intermittent,unknown,,,,,,,,,
baby_demo_2,manual,feed,2026-01-16T12:31:00Z,,,,,82,breast,,,,,,,
baby_demo_2,manual,feed,2026-01-16T12:38:00Z,,,,,63,bottle,,,,,,,
baby_demo_2,manual,diaper,2026-01-16T12:46:00Z,,,,,,,,true,true,small stool,,,
baby_demo_2,manual,diaper,2026-01-16T12:49:00Z,,,,,,,,false,true,small stool,,,
baby_demo_2,device,diaper,2026-01-16T12:53:00Z,,,,,,,,true,false,,,,
baby_demo_2,manual,sleep,2026-01-16T13:06:00Z,,,,,,,,,,,nap_end,swaddled,
baby_demo_2,device,diaper,2026-01-16T13:26:00Z,,,,,,,,false,false,soaked,,,
baby_demo_2,manual,sleep,2026-01-16T13:35:00Z,,,,,,,,,,,asleep,,
baby_demo_2,device,feed,2026-01-16T13:44:00Z,,,,,61,breast,,,,,,,
baby_demo_2,manual,sleep,2026-01-16T13:47:00Z,,,,,,,,,,,nap_end,contact nap,
baby_demo_2,device,cry,2026-01-16T14:02:00Z,0.2,680,continuous,unknown,,,,,,,,,
baby_demo_2,manual,sleep,2026-01-16T14:13:00Z,,,,,,,,,,,nap_end,swaddled,
baby_demo_2,manual,sleep,2026-01-16T14:36:00Z,,,,,,,,,,,asleep,in crib,
baby_demo_2,manual,sleep,2026-01-16T14:41:00Z,,,,,,,,,,,woke_up,swaddled,
baby_demo_2,manual,sleep,2026-01-16T15:18:00Z,,,,,,,,,,,asleep,in crib,
baby_demo_2,manual,feed,2026-01-16T15:23:00Z,,,,,126,bottle,,,,,,,
baby_demo_2,device,diaper,2026-01-16T15:49:00Z,,,,,,,,true,false,,,,
baby_demo_2,manual,sleep,2026-01-16T15:54:00Z,,,,,,,,,,,asleep,swaddled,
baby_demo_2,manual,feed,2026-01-16T16:18:00Z,,,,,74,bottle,,,,,,,
baby_demo_2,manual,sleep,2026-01-16T16:21:00Z,,,,,,,,,,,woke_up,,
baby_demo_2,manual,cry,2026-01-16T16:44:00Z,0.32,484,continuous,low,,,,,,,,,
baby_demo_2,manual,note,2026-01-16T16:51:00Z,,,,,,,,,,,,,New pacifier seemed to help.
baby_demo_2,manual,sleep,2026-01-16T16:58:00Z,,,,,,,,,,,asleep,,
baby_demo_2,manual,sleep,2026-01-16T17:24:00Z,,,,,,,,,,,asleep,,
baby_demo_2,manual,diaper,2026-01-16T17:46:00Z,,,,,,,,true,true,,,,
baby_demo_2,manual,feed,2026-01-16T17:49:00Z,,,,,96,bottle,paced feeding,,,,,,
baby_demo_2,manual,sleep,2026-01-16T18:16:00Z,,,,,,,,,,,woke_up,swaddled,
baby_demo_2,manual,cry,2026-01-16T18:27:00Z,0.34,245,continuous,low,,,,,,,,,
baby_demo_2,manual,cry,2026-01-16T18:35:00Z,0.29,131,escalating,high,,,,,,,,,
baby_demo_2,manual,sleep,2026-01-16T18:37:00Z,,,,,,,,,,,asleep,,
baby_demo_2,agent,cry,2026-01-16T19:02:00Z,0.38,435,escalating,unknown,,,,,,,,,
baby_demo_2,manual,sleep,2026-01-16T19:08:00Z,,,,,,,,,,,nap_end,,
baby_demo_2,device,diaper,2026-01-16T19:32:00Z,,,,,,,,false,true,,,,
baby_demo_2,manual,note,2026-01-16T19:39:00Z,,,,,,,,,,,,,Background noise was loud.
baby_demo_2,manual,cry,2026-01-16T19:50:00Z,0.32,103,intermittent,unknown,,,,,,,,,
